Galaxy,Chi2_NFW,Chi2_LogSVT,b0_m,chi,k1,k2,a1_tilde,a2_tilde,Mass_Msun
F574-1,1.540199477544778,0.20423674210503134,2164.959200155781,2.0997157194970093e-08,5.560793141922748e-07,0.06940325829438515,-99.99987979949546,5e-26,10019967844.014406
F574-2,1.1192149784072682,inf,3150.3851429490046,1.5099334919744842e-41,1.9648724692526994e-49,0.0004015027555048687,-99.99999999999999,5e-26,5319908293.593681
F579-V1,0.18849842440095252,0.13768593750284858,1928.122904684485,0.2913783925969176,6.2688121659783136e-24,0.49999999999999994,-90.87110015379673,5e-26,18092227770.40208
F583-1,1.577206768420261,0.17630121884562922,2045.9657985547778,2.5255094871022037e-05,1.7235502196278882e-07,0.04399526657855573,-99.99977725832979,5e-26,7017807849.036599
F583-4,0.12993960202104532,0.19209735540868353,4981.777888669703,2.91723564814216e-05,0.03199738862069188,0.0005312214985600857,99.98813397443641,5e-26,2713764795.124753
IC2574,42.677699529613484,2.5710674767116997,4999.999977917381,1.8596204343621596e-35,0.00848361654628749,0.0023641224902662327,-99.99999324790866,5e-26,3122510132.506842
IC4202,58.45020139130956,63.1070163641724,4999.999638964749,7.923153766751955e-27,2.519328356145785e-13,0.0033239631830812686,-99.9934880378588,5e-26,227161320071.79874
KK98-251,1.889470234621838,0.3483208887715307,495.23092986278516,0.035376948663452465,7.5984432299088e-13,0.12270687784838391,-99.9999934799616,5e-26,333391346.9475065
NGC0024,0.6576308108369889,0.4785474860197354,2039.237148607633,8.981844751936779e-41,0.11725031004441987,0.4698474143301259,99.99999942761005,5e-26,5306451793.457664
NGC0055,6.0657808332446335,1.7541586872768282,2081.3522706672106,1.82732268801887e-06,2.214093643321892e-09,0.015825326134967743,-99.89685008520506,5e-26,10777726888.030674
NGC0100,2.2254619245055975,0.3059937305440949,3053.88666366684,1.1971483846765883e-18,2.761174951673924e-13,0.015197401862957201,-99.40043220809534,5e-26,4646754734.69568
NGC0247,1.6186347870541393,1.911623359795882,1863.9214114708898,2.382616409354803e-09,0.18697402894633045,0.018631861060464574,99.99868484328873,5e-26,12116542370.33558
NGC0289,3.6015495605916175,3.1469507343889602,4999.4332553398535,0.0004054880503263642,5.502919237168446e-10,0.0024291738353362734,41.88360177762283,5e-26,119646371671.1115
NGC0300,0.8323994703962394,0.5077150632704308,1892.4301455478708,7.954246424218459e-09,0.010576523462782804,0.03687212504634026,99.99818728059078,5e-26,4694209285.9418125
NGC0801,56.23120449524629,75.37834510916879,4999.831067068358,4.177261009127196e-37,5.136151590905048e-41,0.00029079541573529303,-12.703492200083565,5e-26,410371230805.5737
NGC0891,231.40441255885764,297.78747048591833,56.07160865355263,6.80113839732011e-18,4.033905406623768e-10,1.1399184682460497e-09,-99.99999999994658,5e-26,159581105270.97754
NGC1003,3.6055513558452468,2.8902473431908304,2294.8590364439683,7.033651269572118e-06,0.005788237518773462,0.007005911635265721,99.90799216424227,5e-26,16762573300.999094
NGC1090,14.175816660152263,9.970158076515794,4999.999999931752,5.983421017404867e-40,4.937540319150077e-44,0.0011922547520742469,40.39793470661386,5e-26,98062926678.54013
NGC1705,0.0756637480541424,0.07247388191202238,2834.7967076383306,0.1520849312067445,0.8035317301715044,8.710174236011178e-08,-99.98069434731892,5e-26,812883366.5433595
NGC2366,5.176982674612223,1.6095322953979747,854.9423618680763,8.218474268735328e-10,2.762652269193715e-09,0.09752467825797852,-99.99523409710378,5e-26,1217589942.1285262
NGC2403,42.471851775521564,20.202914879411683,4361.790435250585,3.6470294966614564e-05,5.54115013430315e-06,0.01664148835449169,-99.8049705402746,5e-26,17967974750.924805
NGC2683,7.72467826585083,10.327377116169021,4953.554759949619,4.32491436750166e-21,8.927138885260676e-16,0.0021019961895585677,-78.65198676371303,5e-26,83880670504.61412
NGC2841,2.366991014343981,,,,,,,,260390707539.56732
NGC2903,220.08662989072198,222.5019388256996,4999.99841871945,4.723908903514223e-33,5.0542165435327685e-33,0.002221582921421747,-99.96376268061401,5e-26,88498280484.82762
NGC2915,1.3916560784439862,1.082241174914991,1914.841845962848,1.608865564898029e-18,2.0655476238449829e-22,0.18761087461667886,-99.99911086332284,5e-26,1574700155.0834591
NGC2955,63.006430052058825,,,,,,,,377597315545.5474
NGC2976,1.1308507722648378,1.0124129220843407,1.573063193409032,1.0465755919213893e-23,2.112966135185348e-08,1.6417493286870758e-07,-99.99997310658608,5e-26,3333986781.169566
NGC2998,6.659031756402045,5.698142865201026,4997.963441947542,0.4498169688031609,6.096869735754983e-10,0.0013946537720502328,99.73928248990725,5e-26,207161043932.56314
